text,language,true_label,stars,predicted_label,confidence,detected_language,expected_detected
"Absolutely love this product, exceeded all expectations!",en,positive,5,positive,0.9878256916999817,en,en
"Best purchase I've made this year, highly recommend!",en,positive,5,positive,0.9845182299613953,en,en
"Outstanding quality and fast shipping, very impressed.",en,positive,5,positive,0.9778205156326294,en,en
"The customer service was exceptional, resolved my issue immediately.",en,positive,5,positive,0.9188652038574219,en,en
"Perfect fit, great material, looks exactly like the photos.",en,positive,5,positive,0.9623783826828003,en,en
Five stars! This is exactly what I was looking for.,en,positive,5,positive,0.9815592169761658,en,en
"Incredible value for the money, couldn't be happier.",en,positive,5,positive,0.9840346574783325,en,en
"Works perfectly right out of the box, setup was a breeze.",en,positive,5,positive,0.9541996717453003,en,en
"My kids love it, great gift idea for any occasion.",en,positive,5,positive,0.9867576360702515,en,en
Arrived earlier than expected and in perfect condition.,en,positive,5,positive,0.9473103880882263,en,en
"The sound quality is phenomenal, truly immersive experience.",en,positive,5,positive,0.9773061871528625,en,en
"Super comfortable and stylish, get compliments every time.",en,positive,5,positive,0.9830126166343689,en,en
Exceeded my expectations in every way possible.,en,positive,5,positive,0.8699859380722046,en,en
"Absolutely brilliant, one of the best things I've ever bought.",en,positive,5,positive,0.9835227131843567,en,en
The build quality is superb and feels very premium.,en,positive,5,positive,0.9759869575500488,en,en
"I am so glad I purchased this, it changed my daily routine.",en,positive,5,positive,0.9823564291000366,en,en
Fantastic product with great attention to detail.,en,positive,5,positive,0.9786433577537537,en,en
"Terrible quality, broke after just one week of use.",en,negative,1,negative,0.9425325989723206,en,en
"Complete waste of money, does not work as advertised.",en,negative,1,negative,0.8935075402259827,en,en
"Worst purchase ever, returning immediately for a refund.",en,negative,1,negative,0.9491856098175049,en,en
"Customer support was useless, waited three hours for nothing.",en,negative,1,negative,0.9466996192932129,en,en
Cheap materials that fell apart on the first day.,en,negative,1,negative,0.8530932068824768,en,en
"The battery dies within two hours, completely unacceptable.",en,negative,1,negative,0.934396505355835,en,en
Arrived damaged and the seller refused to help.,en,negative,1,negative,0.8749166131019592,en,en
"Misleading product description, nothing like the pictures.",en,negative,1,negative,0.921413779258728,en,en
Horrible smell that won't go away even after washing.,en,negative,1,negative,0.9352443814277649,en,en
"Total scam, received a completely different product.",en,negative,1,negative,0.9190819263458252,en,en
"The zipper broke on first use, very disappointing.",en,negative,1,negative,0.9190286993980408,en,en
"Screen stopped working after two days, defective product.",en,negative,1,negative,0.9192359447479248,en,en
"Extremely noisy and overheats constantly, very unsafe.",en,negative,1,negative,0.8984106183052063,en,en
"Tastes awful, had to throw it away immediately.",en,negative,1,negative,0.9350602626800537,en,en
"Paint peeled off within a week, terrible craftsmanship.",en,negative,1,negative,0.9409682750701904,en,en
This is the worst thing I have ever wasted money on.,en,negative,1,negative,0.9548946022987366,en,en
"Do not buy this, it is a complete disappointment.",en,negative,1,negative,0.9277280569076538,en,en
"It's okay for the price, nothing special.",en,neutral,3,neutral,0.6375755667686462,en,en
"Average product, meets basic requirements.",en,neutral,3,neutral,0.5768704414367676,en,en
"Not bad, not great, just adequate.",en,neutral,3,positive,0.5237791538238525,en,en
"Standard quality, no complaints but no praise either.",en,neutral,3,positive,0.5417357683181763,en,en
"Acceptable for occasional use, wouldn't rely on it daily.",en,neutral,3,neutral,0.7107517123222351,en,en
It arrived on time and looks like the picture.,en,neutral,3,positive,0.714662492275238,en,en
"Exactly as described, nothing more nothing less.",en,neutral,3,neutral,0.5221033692359924,en,en
I have mixed feelings about this product.,en,neutral,3,negative,0.8411190509796143,en,en
It works but I expected a bit more for this price.,en,neutral,3,positive,0.5148484706878662,en,en
"The product is fine, does what it says.",en,neutral,3,positive,0.6631082892417908,en,en
"यह उत्पाद बहुत अच्छा है, मुझे बहुत पसंद आया!",hi,positive,5,positive,0.790789783000946,hi,
"शानदार गुणवत्ता और तेज़ डिलीवरी, बहुत खुश हूँ।",hi,positive,5,positive,0.8173903226852417,hi,
बहुत बढ़िया! उम्मीदों से बेहतर।,hi,positive,5,positive,0.7671741843223572,hi,
"इस उत्पाद ने मेरी ज़िन्दगी बदल दी, शानदार!",hi,positive,5,positive,0.8299220204353333,hi,
